player_name,cluster
A Ashish Reddy,4
A Chandila,4
A Choudhary,0
A Flintoff,0
A Kumble,2
A Mishra,5
A Mithun,4
A Nehra,1
A Nel,0
A Singh,6
A Symonds,6
A Uniyal,0
A Zampa,4
AA Chavan,4
AA Jhunjhunwala,0
AA Noffke,0
AB Agarkar,2
AB Dinda,3
AB McDonald,4
AC Gilchrist,0
AC Thomas,4
AD Mascarenhas,4
AD Mathews,2
AD Russell,2
AF Milne,0
AG Murtaza,4
AJ Finch,0
AJ Tye,6
AL Menaria,0
AM Nayar,4
AM Rahane,0
AM Salvi,0
AN Ahmed,4
AP Dole,0
AR Patel,3
AS Rajpoot,4
Anand Rajan,0
Ankit Sharma,4
Ankit Soni,0
Anureet Singh,6
Avesh Khan,4
Azhar Mahmood,6
B Akhil,4
B Geeves,0
B Kumar,1
B Laughlin,4
B Lee,2
B Stanlake,0
BA Bhatt,4
BA Stokes,6
BAW Mendis,4
BB Sran,6
BCJ Cutting,4
BE Hendricks,4
BJ Hodge,4
BMAJ Mendis,0
BW Hilfenhaus,4
Basil Thampi,6
Bipul Sharma,6
C Nanda,0
C de Grandhomme,4
CH Gayle,6
CH Morris,2
CJ Anderson,6
CJ Jordan,4
CJ McKay,0
CK Langeveldt,0
CL White,0
CR Brathwaite,4
CR Woakes,6
CRD Fernando,4
D Kalyankrishna,0
D Salunkhe,0
D Wiese,4
D du Preez,0
DAJ Bracewell,0
DB Ravi Teja,0
DE Bollinger,6
DJ Bravo,5
DJ Hooda,4
DJ Hussey,4
DJ Muthuswami,0
DJ Thornely,0
DJ Willey,0
DJG Sammy,4
DJM Short,0
DL Chahar,4
DL Vettori,6
DNT Zoysa,0
DP Nannes,6
DP Vijaykumar,0
DR Smith,6
DS Kulkarni,3
DT Christian,2
DW Steyn,1
FH Edwards,0
GB Hogg,6
GD McGrath,4
GH Vihari,0
GJ Maxwell,6
GR Napier,0
GS Sandhu,0
Gagandeep Singh,0
Gurkeerat Singh,0
HH Pandya,6
HV Patel,2
Harbhajan Singh,5
Harmeet Singh,6
I Sharma,1
IC Pandey,6
IK Pathan,1
IS Sodhi,0
Imran Tahir,2
Iqbal Abdulla,2
J Botha,6
J Suchith,4
J Syed Mohammad,4
J Theron,4
J Yadav,0
JA Morkel,1
JC Archer,4
JD Ryder,4
JD Unadkat,3
JDP Oram,4
JDS Neesham,0
JE Taylor,0
JEC Franklin,4
JH Kallis,1
JJ Bumrah,3
JJ van der Wath,0
JM Kemp,0
JO Holder,4
JP Duminy,6
JP Faulkner,3
JPR Scantlebury-Searles,0
JR Hopes,6
JW Hastings,0
Jaskaran Singh,0
Joginder Sharma,4
K Gowtham,4
K Khejroliya,0
K Rabada,0
K Santokie,0
KA Pollard,3
KC Cariappa,4
KH Pandya,6
KJ Abbott,0
KK Cooper,6
KM Asif,0
KMDN Kulasekara,0
KP Appanna,4
KP Pietersen,4
KV Sharma,2
KW Richardson,4
Kamran Khan,4
Karanveer Singh,4
Kuldeep Yadav,6
L Ablish,0
L Balaji,3
L Ngidi,0
LA Carseldine,0
LE Plunkett,4
LH Ferguson,0
LJ Wright,0
LMP Simmons,0
LR Shukla,4
M Ashwin,4
M Kartik,2
M Markande,4
M Morkel,3
M Muralitharan,3
M Ntini,4
M Prasidh Krishna,4
M de Lange,0
MA Khote,0
MA Starc,6
MC Henriques,2
MF Maharoof,6
MG Johnson,3
MJ Clarke,0
MJ Henry,0
MJ McClenaghan,3
MK Tiwary,0
MM Ali,0
MM Patel,3
MM Sharma,1
MN Samuels,4
MP Stoinis,4
MR Marsh,4
MS Gony,2
Mohammad Asif,4
Mohammad Hafeez,0
Mohammad Nabi,0
Mohammed Shami,2
Mohammed Siraj,6
Mujeeb Ur Rahman,4
Mustafizur Rahman,6
N Rana,0
NB Singh,0
ND Doshi,0
NLTC Perera,2
NM Coulter-Nile,6
P Amarnath,4
P Awana,2
P Kumar,5
P Negi,6
P Parameswaran,4
P Sahu,0
P Suyal,0
PC Valthaty,0
PD Collingwood,0
PJ Cummins,4
PJ Sangwan,2
PM Sarvesh Kumar,0
PP Chawla,5
PP Ojha,1
PV Tambe,6
Pankaj Singh,4
Parvez Rasool,4
R Ashwin,1
R Bhatia,3
R Dhawan,6
R McLaren,6
R Ninan,0
R Rampaul,4
R Sathish,4
R Sharma,2
R Shukla,0
R Tewatia,4
R Vinay Kumar,1
RA Jadeja,1
RD Chahar,0
RE van der Merwe,4
RG More,0
RG Sharma,4
RJ Harris,2
RJ Peterson,0
RN ten Doeschate,0
RP Singh,1
RR Powar,6
RR Raje,0
RS Bopara,4
RV Gomez,0
Rashid Khan,6
S Aravind,2
S Badree,4
S Dhawan,0
S Gopal,4
S Kaul,2
S Kaushik,4
S Ladda,4
S Lamichhane,0
S Nadeem,2
S Narwal,0
S Randiv,4
S Sreesanth,2
S Tyagi,4
S Vidyut,0
SB Bangar,4
SB Jakati,2
SB Joshi,0
SB Styris,4
SB Wagh,0
SC Ganguly,4
SD Chitnis,0
SE Bond,4
SJ Srivastava,4
SK Raina,2
SK Trivedi,3
SK Warne,2
SL Malinga,1
SM Boland,0
SM Harwood,0
SM Pollock,4
SMSM Senanayake,0
SN Thakur,6
SP Narine,1
SR Watson,1
SS Agarwal,0
SS Mundhe,0
SS Sarkar,0
ST Jayasuriya,4
STR Binny,6
SW Tait,6
Sachin Baby,0
Sandeep Sharma,3
Shahid Afridi,4
Shakib Al Hasan,3
Shivam Mavi,4
Shivam Sharma,0
Shoaib Ahmed,0
Shoaib Akhtar,0
Shoaib Malik,0
Sohail Tanvir,4
Swapnil Singh,0
T Henderson,0
T Natarajan,0
T Shamsi,0
T Thushara,0
TA Boult,2
TG Southee,2
TK Curran,0
TL Suman,0
TM Dilshan,4
TM Head,0
TP Sudhindra,0
TS Mills,0
UT Yadav,5
Umar Gul,0
V Kohli,4
V Pratap Singh,4
V Sehwag,4
V Shankar,0
VR Aaron,2
VRV Singh,6
VS Malik,4
VY Mahesh,4
WA Mota,0
WD Parnell,6
WPUJC Vaas,4
Washington Sundar,4
Y Nagar,0
Y Venugopal Rao,4
YA Abdulla,4
YK Pathan,2
YS Chahal,3
Yuvraj Singh,2
Z Khan,1
