batsman_cluster,bowler_cluster,P0,P1,P2,P3,P4,P6,p_not_out
0,0,0.41,0.35,0.06,0.0,0.11,0.06,0.56
0,1,0.4,0.39,0.07,0.0,0.1,0.04,0.84
0,2,0.4,0.39,0.06,0.0,0.1,0.04,0.75
0,3,0.39,0.4,0.06,0.0,0.11,0.04,0.81
0,4,0.39,0.4,0.06,0.01,0.09,0.05,0.69
0,5,0.44,0.36,0.06,0.0,0.1,0.04,0.83
0,6,0.39,0.41,0.06,0.01,0.08,0.05,0.74
1,0,0.34,0.41,0.05,0.0,0.14,0.05,0.77
1,1,0.42,0.33,0.07,0.01,0.13,0.05,0.95
1,2,0.37,0.39,0.06,0.0,0.11,0.05,0.89
1,3,0.38,0.37,0.07,0.0,0.12,0.06,0.94
1,4,0.35,0.41,0.06,0.0,0.12,0.06,0.78
1,5,0.37,0.4,0.07,0.0,0.12,0.05,0.96
1,6,0.41,0.37,0.06,0.01,0.12,0.04,0.83
2,0,0.4,0.42,0.07,0.0,0.09,0.02,0.5
2,1,0.43,0.38,0.06,0.0,0.09,0.03,0.67
2,2,0.42,0.4,0.07,0.01,0.08,0.03,0.61
2,3,0.44,0.37,0.07,0.0,0.09,0.03,0.64
2,4,0.39,0.44,0.05,0.0,0.08,0.03,0.61
2,5,0.45,0.37,0.06,0.01,0.08,0.04,0.72
2,6,0.43,0.4,0.06,0.0,0.08,0.03,0.61
3,0,0.42,0.36,0.05,0.0,0.11,0.05,0.63
3,1,0.46,0.32,0.05,0.0,0.13,0.03,0.93
3,2,0.41,0.37,0.06,0.0,0.11,0.04,0.85
3,3,0.41,0.35,0.07,0.0,0.13,0.04,0.89
3,4,0.38,0.38,0.05,0.0,0.12,0.06,0.73
3,5,0.41,0.38,0.06,0.0,0.1,0.04,0.91
3,6,0.41,0.38,0.04,0.0,0.12,0.04,0.81
4,0,0.38,0.41,0.04,0.01,0.1,0.06,0.76
4,1,0.42,0.36,0.07,0.0,0.1,0.03,0.91
4,2,0.38,0.4,0.06,0.0,0.11,0.04,0.82
4,3,0.37,0.4,0.06,0.01,0.11,0.05,0.89
4,4,0.35,0.44,0.05,0.0,0.1,0.05,0.69
4,5,0.38,0.42,0.07,0.0,0.09,0.04,0.93
4,6,0.39,0.42,0.06,0.0,0.09,0.03,0.8
5,0,0.38,0.38,0.08,0.01,0.11,0.04,0.6
5,1,0.43,0.36,0.06,0.0,0.12,0.03,0.9
5,2,0.4,0.39,0.06,0.01,0.09,0.04,0.79
5,3,0.41,0.39,0.06,0.0,0.1,0.04,0.84
5,4,0.38,0.44,0.05,0.0,0.09,0.04,0.7
5,5,0.42,0.38,0.06,0.0,0.1,0.04,0.87
5,6,0.39,0.39,0.07,0.0,0.12,0.04,0.7
6,0,0.45,0.37,0.06,0.0,0.07,0.05,0.51
6,1,0.44,0.38,0.06,0.0,0.1,0.03,0.74
6,2,0.41,0.4,0.06,0.0,0.09,0.04,0.72
6,3,0.41,0.41,0.06,0.0,0.09,0.03,0.75
6,4,0.4,0.4,0.06,0.0,0.09,0.05,0.55
6,5,0.39,0.43,0.06,0.0,0.09,0.03,0.75
6,6,0.4,0.41,0.07,0.0,0.09,0.04,0.64
7,0,0.37,0.5,0.05,0.01,0.05,0.02,0.48
7,1,0.49,0.38,0.06,0.0,0.06,0.02,0.54
7,2,0.47,0.38,0.06,0.01,0.07,0.01,0.5
7,3,0.55,0.34,0.03,0.0,0.05,0.03,0.45
7,4,0.44,0.42,0.05,0.0,0.06,0.02,0.49
7,5,0.53,0.33,0.05,0.01,0.06,0.03,0.47
7,6,0.5,0.39,0.05,0.0,0.06,0.01,0.51
8,0,0.36,0.38,0.06,0.0,0.14,0.06,0.6
8,1,0.4,0.37,0.06,0.0,0.13,0.04,0.93
8,2,0.38,0.4,0.06,0.0,0.12,0.05,0.91
8,3,0.4,0.4,0.05,0.0,0.11,0.04,0.93
8,4,0.35,0.44,0.06,0.0,0.11,0.05,0.72
8,5,0.37,0.4,0.07,0.0,0.12,0.04,0.94
8,6,0.38,0.39,0.07,0.0,0.11,0.04,0.81
9,0,0.37,0.4,0.06,0.0,0.11,0.06,0.46
9,1,0.39,0.39,0.08,0.0,0.12,0.03,0.95
9,2,0.37,0.41,0.06,0.0,0.11,0.05,0.94
9,3,0.38,0.38,0.07,0.01,0.12,0.05,0.93
9,4,0.33,0.46,0.05,0.0,0.11,0.06,0.76
9,5,0.35,0.42,0.06,0.0,0.1,0.06,0.96
9,6,0.32,0.46,0.06,0.0,0.12,0.03,0.87
